order_id,product_id,product_name,category,quantity,unit_price,total_price,order_date
1001,P007,Noise Cancelling Headphones,Audio,1,200.0,200.0,2025-02-28
1002,P002,"Laptop 15""",Computers,4,850.0,3400.0,2025-02-11
1003,P004,Gaming Keyboard,Accessories,2,120.0,240.0,2025-02-08
1004,P002,"Laptop 15""",Computers,2,850.0,1700.0,2025-03-22
1005,P006,External SSD 1TB,Storage,5,150.0,750.0,2025-01-07
1006,P005,"Monitor 27""",Displays,4,300.0,1200.0,2025-02-12
1007,P003,USB-C Hub,Accessories,3,40.0,120.0,2025-02-11
1008,P007,Noise Cancelling Headphones,Audio,2,200.0,400.0,2025-03-28
1009,P006,External SSD 1TB,Storage,2,150.0,300.0,2025-02-28
1010,P004,Gaming Keyboard,Accessories,2,120.0,240.0,2025-03-10
1011,P005,"Monitor 27""",Displays,3,300.0,900.0,2025-01-24
1012,P006,External SSD 1TB,Storage,4,150.0,600.0,2025-02-20
1013,P005,"Monitor 27""",Displays,5,300.0,1500.0,2025-01-15
1014,P007,Noise Cancelling Headphones,Audio,2,200.0,400.0,2025-02-26
1015,P007,Noise Cancelling Headphones,Audio,1,200.0,200.0,2025-03-09
1016,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-03-25
1017,P007,Noise Cancelling Headphones,Audio,4,200.0,800.0,2025-02-23
1018,P002,"Laptop 15""",Computers,4,850.0,3400.0,2025-01-13
1019,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-02-26
1020,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-02-26
1021,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-02-02
1022,P005,"Monitor 27""",Displays,2,300.0,600.0,2025-03-31
1023,P006,External SSD 1TB,Storage,5,150.0,750.0,2025-03-13
1024,P004,Gaming Keyboard,Accessories,4,120.0,480.0,2025-03-07
1025,P003,USB-C Hub,Accessories,1,40.0,40.0,2025-03-01
1026,P006,External SSD 1TB,Storage,5,150.0,750.0,2025-02-22
1027,P002,"Laptop 15""",Computers,3,850.0,2550.0,2025-02-05
1028,P002,"Laptop 15""",Computers,3,850.0,2550.0,2025-02-11
1029,P006,External SSD 1TB,Storage,4,150.0,600.0,2025-02-13
1030,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-03-12
1031,P004,Gaming Keyboard,Accessories,3,120.0,360.0,2025-01-24
1032,P002,"Laptop 15""",Computers,3,850.0,2550.0,2025-03-19
1033,P001,Wireless Mouse,Accessories,3,25.0,75.0,2025-02-28
1034,P006,External SSD 1TB,Storage,1,150.0,150.0,2025-03-24
1035,P003,USB-C Hub,Accessories,3,40.0,120.0,2025-03-01
1036,P002,"Laptop 15""",Computers,4,850.0,3400.0,2025-03-23
1037,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-01-26
1038,P004,Gaming Keyboard,Accessories,5,120.0,600.0,2025-01-16
1039,P005,"Monitor 27""",Displays,3,300.0,900.0,2025-02-28
1040,P005,"Monitor 27""",Displays,4,300.0,1200.0,2025-01-05
1041,P006,External SSD 1TB,Storage,1,150.0,150.0,2025-01-25
1042,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-03-16
1043,P005,"Monitor 27""",Displays,2,300.0,600.0,2025-01-29
1044,P006,External SSD 1TB,Storage,3,150.0,450.0,2025-02-25
1045,P002,"Laptop 15""",Computers,1,850.0,850.0,2025-03-01
1046,P005,"Monitor 27""",Displays,5,300.0,1500.0,2025-03-14
1047,P005,"Monitor 27""",Displays,5,300.0,1500.0,2025-03-25
1048,P007,Noise Cancelling Headphones,Audio,2,200.0,400.0,2025-02-20
1049,P002,"Laptop 15""",Computers,1,850.0,850.0,2025-03-21
1050,P002,"Laptop 15""",Computers,2,850.0,1700.0,2025-03-07
1051,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-01-05
1052,P007,Noise Cancelling Headphones,Audio,3,200.0,600.0,2025-01-15
1053,P007,Noise Cancelling Headphones,Audio,3,200.0,600.0,2025-03-12
1054,P007,Noise Cancelling Headphones,Audio,4,200.0,800.0,2025-02-20
1055,P004,Gaming Keyboard,Accessories,2,120.0,240.0,2025-03-15
1056,P004,Gaming Keyboard,Accessories,2,120.0,240.0,2025-01-25
1057,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-03-23
1058,P001,Wireless Mouse,Accessories,5,25.0,125.0,2025-03-13
1059,P005,"Monitor 27""",Displays,3,300.0,900.0,2025-02-07
1060,P007,Noise Cancelling Headphones,Audio,3,200.0,600.0,2025-02-09
1061,P002,"Laptop 15""",Computers,1,850.0,850.0,2025-03-03
1062,P006,External SSD 1TB,Storage,3,150.0,450.0,2025-01-04
1063,P007,Noise Cancelling Headphones,Audio,2,200.0,400.0,2025-03-20
1064,P002,"Laptop 15""",Computers,2,850.0,1700.0,2025-01-18
1065,P007,Noise Cancelling Headphones,Audio,5,200.0,1000.0,2025-03-31
1066,P004,Gaming Keyboard,Accessories,1,120.0,120.0,2025-01-08
1067,P006,External SSD 1TB,Storage,1,150.0,150.0,2025-01-24
1068,P003,USB-C Hub,Accessories,2,40.0,80.0,2025-03-26
1069,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-02-24
1070,P006,External SSD 1TB,Storage,1,150.0,150.0,2025-01-03
1071,P003,USB-C Hub,Accessories,3,40.0,120.0,2025-01-08
1072,P002,"Laptop 15""",Computers,4,850.0,3400.0,2025-01-01
1073,P005,"Monitor 27""",Displays,5,300.0,1500.0,2025-02-28
1074,P007,Noise Cancelling Headphones,Audio,5,200.0,1000.0,2025-03-02
1075,P002,"Laptop 15""",Computers,1,850.0,850.0,2025-03-05
1076,P005,"Monitor 27""",Displays,2,300.0,600.0,2025-01-27
1077,P003,USB-C Hub,Accessories,3,40.0,120.0,2025-02-19
1078,P005,"Monitor 27""",Displays,3,300.0,900.0,2025-03-10
1079,P007,Noise Cancelling Headphones,Audio,1,200.0,200.0,2025-01-08
1080,P003,USB-C Hub,Accessories,4,40.0,160.0,2025-02-02
1081,P001,Wireless Mouse,Accessories,4,25.0,100.0,2025-02-24
1082,P004,Gaming Keyboard,Accessories,4,120.0,480.0,2025-02-27
1083,P004,Gaming Keyboard,Accessories,1,120.0,120.0,2025-03-11
1084,P004,Gaming Keyboard,Accessories,3,120.0,360.0,2025-02-12
1085,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-03-15
1086,P002,"Laptop 15""",Computers,3,850.0,2550.0,2025-01-23
1087,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-02-10
1088,P006,External SSD 1TB,Storage,2,150.0,300.0,2025-01-03
1089,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-01-15
1090,P001,Wireless Mouse,Accessories,1,25.0,25.0,2025-01-02
1091,P003,USB-C Hub,Accessories,5,40.0,200.0,2025-02-16
1092,P007,Noise Cancelling Headphones,Audio,5,200.0,1000.0,2025-01-14
1093,P001,Wireless Mouse,Accessories,4,25.0,100.0,2025-02-10
1094,P003,USB-C Hub,Accessories,2,40.0,80.0,2025-01-21
1095,P001,Wireless Mouse,Accessories,2,25.0,50.0,2025-03-29
1096,P005,"Monitor 27""",Displays,1,300.0,300.0,2025-01-08
1097,P006,External SSD 1TB,Storage,3,150.0,450.0,2025-01-19
1098,P001,Wireless Mouse,Accessories,2,25.0,50.0,2025-03-20
1099,P006,External SSD 1TB,Storage,4,150.0,600.0,2025-01-05
1100,P004,Gaming Keyboard,Accessories,5,120.0,600.0,2025-02-26
